competitor,domain,categories_covered,pricing_range,free_sample,number_of_product_pages_found,number_of_guide_pages_found,strongest_pages,weaknesses,opportunities_for_us,design_notes,seo_notes
bbtoolsets,bbtoolsets.com,unclear from crawl,not visible in crawl,yes/mentioned,0,0,,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
bim-depot,bim-depot.com,electrical,$19; $29; $19; $19; $299,yes/mentioned,4,0,"BIM Depot - Revit Templates, Families & Membership | BIM Depot Bluebeam Tools & Membership Access | Bluebeam Toolset Fire Alarm Symbols & Markups - BIM Depot","Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
bluebeam,community.bluebeam.com,unclear from crawl,not visible in crawl,not observed,0,0,,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
hanwhavisionamerica,hanwhavisionamerica.com,general Bluebeam workflow,not visible in crawl,not observed,0,0,Bluebeam Revu Profiles | Hanwha Vision,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
markuptoolsets,markuptoolsets.com,electrical,$30.00; $30.00,not observed,2,0,Bluebeam Revu® Tool Sets & Custom Libraries – MarkupToolSets,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
microcad3d,microcad3d.com,unclear from crawl,not visible in crawl,not observed,0,0,,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
sensorworx,sensorworx.com,electrical,not visible in crawl,not observed,0,0,Design Tools - SENSORWORX,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
simpletechresources,simpletechresources.com,unclear from crawl,not visible in crawl,not observed,0,0,,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
solidcad,solidcad.ca,unclear from crawl,not visible in crawl,not observed,0,0,,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
archtoolbox,store.archtoolbox.com,AV/audio-visual,not visible in crawl,yes/mentioned,0,1,BBToolsets – Bluebeam Tools – Archtoolbox Store,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
bluebeam,support.bluebeam.com,unclear from crawl,not visible in crawl,not observed,0,0,,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
uchapter2,uchapter2.com,unclear from crawl,not visible in crawl,yes/mentioned,0,0,,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
bluebeam,university.bluebeam.com,CCTV,not visible in crawl,yes/mentioned,0,5,"How to Create, Customize, and Organize Tool Sets | How to Use the Tool Chest | Home | Bluebeam University | How to Create, Customize, and Organize Tool Sets | How to Use the Tool Chest","Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
avigilon,www.avigilon.com,AV/audio-visual; electrical,not visible in crawl,not observed,0,1,Motorola Solutions Tool Chest for Bluebeam Revu | Motorola Solutions Tool Chest for Bluebeam Revu | Vape Detectors and Sensors: Everything You Need to Know | Motorola Solutions Tool Chest for Bluebeam Revu,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
axis,www.axis.com,CCTV,not visible in crawl,not observed,5,1,AXIS Tool Set for Bluebeam® Revu® | Axis Communications | AXIS Tool Set for Bluebeam® Revu® - Product support | Axis Communications | Technical guides | Axis Communications | Products | Axis Communications | Access control | Axis Communications,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
bluebeam,www.bluebeam.com,unclear from crawl,not visible in crawl,not observed,0,0,,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
com,www.cadgroup.com.au,AV/audio-visual; electrical; telecom/data,not visible in crawl,yes/mentioned,1,3,Adding Industry Specific Tool Sets into Bluebeam Revu – Cadgroup | Autodesk AEC Collection - BIM & CAD Software | Cadgroup | Autodesk PDM Collection (PDMC) - Engineering Software | Cadgroup | Bluebeam Revu Software & Support - Gold Partner | Cadgroup | Bluebeam Archives – Cadgroup,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
etsy,www.etsy.com,unclear from crawl,not visible in crawl,not observed,0,0,etsy.com | etsy.com | etsy.com | etsy.com,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
hanwhavision,www.hanwhavision.com,general Bluebeam workflow,not visible in crawl,not observed,0,0,Bluebeam Revu Profiles | Hanwha Vision,"Opportunity to improve trade-specific landing pages, FAQs, compatibility detail, schema, and bundles where not visible.","Create clearer trade taxonomy, free sample capture, bundle comparisons, compatibility badges, and original how-to content.","High-level review only: navigation/category cards, CTA placement, price visibility, trust signals, and mobile clarity should be benchmarked manually.",Use crawl titles/headings to target long-tail Bluebeam + trade + symbols/tool set queries with unique pages.
